,emotions,emotions_label,sentence,copy_sentence,word_count,AGE,SEX,COUN,sentence_ut
2276,1.0,fear,"['when', 'going', 'for', 'my', 'driver', 'licence', 'for', 'the', 'third', 'time', 'because', 'everything', 'it', 'seemed', 'hinged', 'on', 'getting', 'it', 'i', 'wa', 'really', 'nervous', 'and', 'the', 'testing', 'officer', 'made', 'me', 'a', 'little', 'afraid', 'a', 'well', 'there', 'were', 'lot', 'of', 'thing', 'to', 'worry', 'about', 'i', 'passed', 'however']","When going for my driver's licence for the third time, because ÌÁ everything, it seemed, hinged on getting it. I was really nervous, ÌÁ and the testing Officer made me a little afraid as well. There ÌÁ were lots of things to worry about. I passed however.",44,18.0,2.0,9.0,when going for my driver licence for the third time because everything it seemed hinged on getting it i wa really nervous and the testing officer made me a little afraid a well there were lot of thing to worry about i passed however
2277,2.0,anger,"['when', 'a', 'socalled', 'friend', 'let', 'me', 'down', 'when', 'she', 'promised', 'to', 'tell', 'me', 'when', 'a', 'certain', 'concert', 'wa', 'occurring', 'and', 'that', 'shed', 'get', 'me', 'ticket', 'i', 'wa', 'really', 'looking', 'forward', 'to', 'it', 'she', 'did', 'nothing', 'just', 'told', 'me', 'out', 'of', 'the', 'blue', 'one', 'day', 'what', 'a', 'fantastic', 'concert', 'it', 'wa', 'going', 'to', 'be']","When a so-called friend let me down, when she promised to tell me ÌÁ when a certain concert was occurring, and that she'd get me ÌÁ tickets. I was really looking forward to it. She did nothing, ÌÁ just told me out of the blue one day what a fantastic concert it ÌÁ was going to be.",53,18.0,2.0,9.0,when a socalled friend let me down when she promised to tell me when a certain concert wa occurring and that shed get me ticket i wa really looking forward to it she did nothing just told me out of the blue one day what a fantastic concert it wa going to be
2278,3.0,sadness,"['when', 'my', 'family', 'heard', 'that', 'my', 'mother', 'cousin', 'who', 'life', 'in', 'england', 'wrote', 'u', 'to', 'tell', 'that', 'he', 'had', 'cancer', 'of', 'the', 'lymph', 'gland']",When my family heard that my Mother's cousin who lives in ÌÁ England wrote us to tell that he had cancer of the lymph glands.,24,18.0,2.0,9.0,when my family heard that my mother cousin who life in england wrote u to tell that he had cancer of the lymph gland
2279,4.0,disgust,"['when', 'i', 'found', 'out', 'how', 'the', 'people', 'of', 'ethiopia', 'were', 'starving', 'and', 'their', 'government', 'wa', 'spending', 'million', 'on', 'celebrating', 'being', 'in', 'power', 'so', 'many', 'year', 'then', 'i', 'saw', 'all', 'these', 'people', 'on', 'tv', 'needing', 'food', 'etc']","When I found out how the people of Ethiopia were starving and ÌÁ their government was spending millions on celebrating being in ÌÁ power so many years. Then I saw all these people on TV needing ÌÁ food, etc.",36,18.0,2.0,9.0,when i found out how the people of ethiopia were starving and their government wa spending million on celebrating being in power so many year then i saw all these people on tv needing food etc
2282,0.0,joy,"['two', 'year', 'ago', 'somebody', 'i', 'like', 'very', 'much', 'wanted', 'to', 'give', 'up', 'his', 'study', 'i', 'tried', 'to', 'make', 'him', 'understand', 'the', 'importance', 'of', 'what', 'he', 'wa', 'going', 'to', 'do', 'not', 'only', 'of', 'the', 'difficulty', 'to', 'find', 'a', 'job', 'but', 'also', 'because', 'he', 'will', 'decrease', 'his', 'culture', 'etc', 'this', 'person', 'made', 'the', 'test', 'to', 'the', 'college', 'entrance', 'examination', 'and', 'to', 'our', 'great', 'joy', 'we', 'found', 'out', 'that', 'he', 'succeded', 'in', 'entering', 'at', 'the', 'university']","Two years ago, somebody I like very much wanted to give up his ÌÁ studies. I tried to make him understand the importance of what he ÌÁ was going to do, not only of the difficulty to find a job but also ÌÁ because he will decrease his culture etc. This person made the ÌÁ test to the college entrance examination and to our great joy we ÌÁ found out that he succeded in entering at the University.",73,23.0,2.0,10.0,two year ago somebody i like very much wanted to give up his study i tried to make him understand the importance of what he wa going to do not only of the difficulty to find a job but also because he will decrease his culture etc this person made the test to the college entrance examination and to our great joy we found out that he succeded in entering at the university
2283,1.0,fear,"['one', 'night', 'when', 'i', 'got', 'out', 'from', 'the', 'university', 'i', 'saw', 'two', 'strange', 'people', 'near', 'my', 'car', 'when', 'i', 'got', 'near', 'they', 'moved', 'away', 'and', 'then', 'came', 'close', 'again', 'i', 'had', 'a', 'feeling', 'that', 'they', 'were', 'assaulter', 'after', 'i', 'left', 'i', 'discovered', 'that', 'the', 'windshield', 'wa', 'broken']","One night, when I got out from the University I saw two strange ÌÁ people near my car. When I got near, they moved away, and then ÌÁ came close again. I had a feeling that they were assaulters. ÌÁ After I left I discovered that the windshield was broken.",47,23.0,2.0,10.0,one night when i got out from the university i saw two strange people near my car when i got near they moved away and then came close again i had a feeling that they were assaulter after i left i discovered that the windshield wa broken
2284,2.0,anger,"['one', 'day', 'in', 'a', 'crossroad', 'somebody', 'crashed', 'my', 'car', 'i', 'got', 'out', 'and', 'this', 'person', 'laughed', 'at', 'me', 'i', 'felt', 'such', 'a', 'great', 'anger', 'that', 'i', 'got', 'in', 'my', 'car', 'and', 'went', 'away']",One day in a crossroad somebody crashed my car. I got out and ÌÁ this person laughed at me. I felt such a great anger that I got ÌÁ in my car and went away.,33,23.0,2.0,10.0,one day in a crossroad somebody crashed my car i got out and this person laughed at me i felt such a great anger that i got in my car and went away
2285,3.0,sadness,"['i', 'dont', 'know', 'why', 'suddenly', 'i', 'thought', 'that', 'what', 'i', 'wa', 'feeling', 'for', 'my', 'boyfriend', 'wa', 'not', 'really', 'love', 'after', 'almost', 'three', 'year', 'being', 'together', 'this', 'matter', 'of', 'fact', 'shaked', 'me', 'and', 'i', 'felt', 'a', 'great', 'sorrow', 'that', 'i', 'can', 'call', 'sadness']","I don't know why suddenly I thought that what I was feeling for ÌÁ my boyfriend was not really love. After almost three years being ÌÁ together, this matter of fact shaked me and I felt a great sorrow ÌÁ that I can call sadness.",42,23.0,2.0,10.0,i dont know why suddenly i thought that what i wa feeling for my boyfriend wa not really love after almost three year being together this matter of fact shaked me and i felt a great sorrow that i can call sadness
2286,4.0,disgust,"['returning', 'home', 'in', 'the', 'late', 'afternoon', 'i', 'saw', 'an', 'indecent', 'act', 'made', 'by', 'a', 'man', 'with', 'the', 'purpose', 'that', 'i', 'saw', 'it']",Returning home in the late afternoon I saw an indecent act made ÌÁ by a man with the purpose that I saw it.,22,23.0,2.0,10.0,returning home in the late afternoon i saw an indecent act made by a man with the purpose that i saw it
2289,0.0,joy,"['when', 'i', 'entered', 'at', 'the', 'university']",When I entered at the University.,6,18.0,2.0,10.0,when i entered at the university
2290,1.0,fear,"['one', 'night', 'i', 'and', 'my', 'friend', 'went', 'to', 'the', 'cemetery', 'we', 'stopped', 'the', 'car', 'in', 'front', 'of', 'the', 'wall', 'and', 'suddenly', 'the', 'grave', 'digger', 'appeared', 'over', 'the', 'wall', 'looking', 'like', 'a', 'ghost', 'i', 'wa', 'already', 'afraid', 'and', 'almost', 'died']",One night I and my friends went to the cemetery. We stopped the ÌÁ car in front of the wall and suddenly the grave digger appeared ÌÁ over the wall looking like a ghost. I was already afraid and ÌÁ almost died.,39,18.0,2.0,10.0,one night i and my friend went to the cemetery we stopped the car in front of the wall and suddenly the grave digger appeared over the wall looking like a ghost i wa already afraid and almost died
2291,2.0,anger,"['when', 'one', 'teacher', 'unjustly', 'gave', 'me', 'zero', 'in', 'a', 'test', 'saying', 'that', 'i', 'wa', 'cribbing']",When one teacher unjustly gave me zero in a test saying that I ÌÁ was cribbing.,15,18.0,2.0,10.0,when one teacher unjustly gave me zero in a test saying that i wa cribbing
2292,3.0,sadness,"['when', 'my', 'grandmother', 'died']",When my grandmother died.,4,18.0,2.0,10.0,when my grandmother died
2293,4.0,disgust,"['i', 'went', 'to', 'a', 'restaurant', 'with', 'my', 'boyfriend', 'for', 'dinner', 'there', 'we', 'saw', 'a', 'couple', 'the', 'man', 'of', 'the', 'couple', 'wa', 'a', 'negro', 'and', 'he', 'hadnt', 'manner', 'for', 'eat']",I went to a restaurant with my boyfriend for dinner. There we saw ÌÁ a couple. the man of the couple was a negro and he hadn't manners ÌÁ for eat.,29,18.0,2.0,10.0,i went to a restaurant with my boyfriend for dinner there we saw a couple the man of the couple wa a negro and he hadnt manner for eat
2296,0.0,joy,"['when', 'in', 'the', 'end', 'of', 'a', 'semester', 'i', 'got', 'the', 'approval', 'in', 'a', 'matter', 'that', 'i', 'judged', 'very', 'difficult']",When in the end of a semester I got the approval in a matter that ÌÁ I judged very difficult.,19,21.0,1.0,10.0,when in the end of a semester i got the approval in a matter that i judged very difficult
2297,1.0,fear,"['crossing', 'a', 'street', 'of', 'several', 'way', 'the', 'car', 'began', 'to', 'move', 'and', 'i', 'thought', 'that', 'i', 'wa', 'going', 'to', 'be', 'trampled']",Crossing a street of several ways the cars began to move and I ÌÁ thought that I was going to be trampled.,21,21.0,1.0,10.0,crossing a street of several way the car began to move and i thought that i wa going to be trampled
2298,2.0,anger,"['i', 'went', 'to', 'the', 'school', 'library', 'and', 'asked', 'for', 'a', 'book', 'but', 'the', 'librarian', 'told', 'me', 'that', 'there', 'wasnt', 'such', 'however', 'when', 'an', 'other', 'colleague', 'asked', 'for', 'it', 'she', 'gave', 'it', 'to', 'him']","I went to the school library and asked for a book, but the ÌÁ librarian told me that there wasn't such. However when an other ÌÁ colleague asked for it she gave it to him.",33,21.0,1.0,10.0,i went to the school library and asked for a book but the librarian told me that there wasnt such however when an other colleague asked for it she gave it to him
2299,3.0,sadness,"['some', 'colleague', 'decided', 'to', 'go', 'out', 'on', 'a', 'saturday', 'not', 'inviting', 'me', 'to', 'decide', 'either', 'the', 'place', 'nor', 'the', 'time']",Some colleagues decided to go out on a Saturday not inviting me ÌÁ to decide either the place nor the time.,20,21.0,1.0,10.0,some colleague decided to go out on a saturday not inviting me to decide either the place nor the time
2300,4.0,disgust,"['a', 'teacher', 'giving', 'a', 'test', 'wa', 'called', 'by', 'a', 'student', 'by', 'his', 'first', 'name', 'he', 'the', 'teacher', 'said', 'that', 'he', 'didnt', 'give', 'him', 'this', 'liberty']",A teacher giving a test was called by a student by his first ÌÁ name. He (the teacher) said that he didn't give him this liberty.,25,21.0,1.0,10.0,a teacher giving a test wa called by a student by his first name he the teacher said that he didnt give him this liberty
2303,0.0,joy,"['the', 'situation', 'in', 'which', 'i', 'felt', 'happiest', 'in', 'my', 'life', 'wa', 'when', 'i', 'wa', 'with', 'the', 'person', 'i', 'love', 'for', 'the', 'first', 'time']",The situation in which I felt happiest in my life was when ÌÁ I was with the person I love for the first time.,23,19.0,2.0,10.0,the situation in which i felt happiest in my life wa when i wa with the person i love for the first time
2304,1.0,fear,"['fear', 'of', 'thief']",Fear of thief.,3,19.0,2.0,10.0,fear of thief
2305,2.0,anger,"['i', 'feel', 'anger', 'when', 'somebody', 'forbids', 'me', 'to', 'do', 'something']",I feel anger when somebody forbids me to do something.,10,19.0,2.0,10.0,i feel anger when somebody forbids me to do something
2306,3.0,sadness,"['i', 'felt', 'sad', 'when', 'i', 'wa', 'despised', 'by', 'another', 'person']",I felt sad when I was despised by another person.,10,19.0,2.0,10.0,i felt sad when i wa despised by another person
2307,4.0,disgust,"['i', 'felt', 'disgust', 'of', 'dirty']",I felt disgust of dirty.,5,19.0,2.0,10.0,i felt disgust of dirty
2310,0.0,joy,"['when', 'i', 'got', 'through', 'the', 'examination', 'for', 'my', 'driver', 'licence', 'and', 'when', 'i', 'finished', 'i', 'knew', 'i', 'had', 'passed', 'it']","When I got through the examination for my driver licence, and ÌÁ when I finished I knew I had passed it.",20,28.0,2.0,10.0,when i got through the examination for my driver licence and when i finished i knew i had passed it
2311,1.0,fear,"['i', 'wa', 'inside', 'the', 'car', 'with', 'my', 'husband', 'and', 'we', 'were', 'assaulted', 'with', 'a', 'gun', 'at', '10', 'oclock', 'in', 'the', 'evening']",I was inside the car with my husband and we were assaulted with a ÌÁ gun at 10 o'clock in the evening.,21,28.0,2.0,10.0,i wa inside the car with my husband and we were assaulted with a gun at 10 oclock in the evening
2312,2.0,anger,"['when', 'they', 'changed', 'my', 'office', 'to', 'another', 'room', 'without', 'my', 'agreement']",When they changed my office to another room without my agreement.,11,28.0,2.0,10.0,when they changed my office to another room without my agreement
2313,3.0,sadness,"['i', 'couldnt', 'sleep', 'and', 'began', 'to', 'remind', 'of', 'my', 'childhood', 'we', 'are', 'many', 'sister', 'and', 'at', 'that', 'time', 'we', 'were', 'spanked', 'a', 'lot', 'and', 'i', 'dont', 'know', 'why', 'i', 'started', 'to', 'remind', 'of', 'the', 'spank', 'they', 'and', 'i', 'had', 'had', 'their', 'shout', 'when', 'this', 'happened']","I couldn't sleep, and began to remind of my childhood. We are many ÌÁ sisters and at that time we were spanked a lot and I don't know ÌÁ why I started to remind of the spanks they and I had had, their ÌÁ shouts when this happened.",45,28.0,2.0,10.0,i couldnt sleep and began to remind of my childhood we are many sister and at that time we were spanked a lot and i dont know why i started to remind of the spank they and i had had their shout when this happened
2314,4.0,disgust,"['when', 'i', 'red', 'a', 'report', 'in', 'the', 'magazine', 'vesa', 'about', 'an', 'iranian', 'telling', 'what', 'she', 'had', 'lived', 'in', 'the', 'prison', 'in', 'iran', 'i', 'felt', 'disgust', 'about', 'that', 'people']",When I red a report in the magazine VESA about an Iranian telling ÌÁ what she had lived in the prisons in Iran. I felt disgust about ÌÁ that people.,28,28.0,2.0,10.0,when i red a report in the magazine vesa about an iranian telling what she had lived in the prison in iran i felt disgust about that people
2317,0.0,joy,"['i', 'wa', 'in', 'ilha', 'grande', 'with', 'a', 'wonderful', 'sun', 'with', 'wonderful', 'people', 'with', 'a', 'wonderful', 'sea', 'with', 'a', 'wonderful', 'boy']","I was in ILHA GRANDE with a wonderful sun, with wonderful people, ÌÁ with a wonderful sea, with a wonderful boy.",20,20.0,2.0,10.0,i wa in ilha grande with a wonderful sun with wonderful people with a wonderful sea with a wonderful boy
2318,1.0,fear,"['when', 'i', 'wa', 'looking', 'for', 'a', 'job', 'i', 'felt', 'a', 'lot', 'of', 'fear', 'but', 'the', 'fear', 'wa', 'greater', 'when', 'i', 'found', 'it']",When I was looking for a job I felt a lot of fear but the fear ÌÁ was greater when I found it.,22,20.0,2.0,10.0,when i wa looking for a job i felt a lot of fear but the fear wa greater when i found it
2319,2.0,anger,"['this', 'feeling', 'occurred', 'to', 'me', 'when', 'my', 'colleague', 'entered', 'in', 'gv', 'university', 'and', 'i', 'didnt']",This feeling occurred to me when my colleague entered in G.V. ÌÁ (University) and I didn't.,15,20.0,2.0,10.0,this feeling occurred to me when my colleague entered in gv university and i didnt
2320,3.0,sadness,"['when', 'i', 'applied', 'for', 'the', 'college', 'entrance', 'examination', 'to', 'fuvest', 'and', 'i', 'wasnt', 'approved', 'in', 'the', 'second', 'fase']","When I applied for the college entrance examination to FUVEST, ÌÁ and I wasn't approved in the second fase.",18,20.0,2.0,10.0,when i applied for the college entrance examination to fuvest and i wasnt approved in the second fase
2324,0.0,joy,"['i', 'felt', 'happy', 'when', 'my', 'mother', 'borrowed', 'me', 'the', 'car', 'in', 'order', 'to', 'let', 'me', 'go', 'out', 'alone', 'for', 'the', 'first', 'time']",I felt happy when my mother borrowed me the car in order to let ÌÁ me go out alone for the first time.,22,18.0,2.0,10.0,i felt happy when my mother borrowed me the car in order to let me go out alone for the first time
2325,1.0,fear,"['i', 'felt', 'afraid', 'when', 'i', 'smoked', 'maryhuana', 'for', 'the', 'first', 'time', 'in', 'my', 'life', 'with', 'a', 'lot', 'of', 'friend', 'in', 'the', 'middle', 'of', 'the', 'street', 'at', 'day', 'brake']",I felt afraid when I smoked maryhuana for the first time in my ÌÁ life with a lot of friends in the middle of the street at day ÌÁ brake.,28,18.0,2.0,10.0,i felt afraid when i smoked maryhuana for the first time in my life with a lot of friend in the middle of the street at day brake
2326,2.0,anger,"['i', 'felt', 'anger', 'when', 'i', 'had', 'a', 'fight', 'with', 'my', 'father', 'and', 'he', 'beated', 'me', 'my', 'mother', 'came', 'to', 'help', 'me', 'because', 'i', 'wa', 'beeing', 'beated', 'and', 'he', 'also', 'beated', 'my', 'mother']","I felt anger when I had a fight with my father, and he beated me. ÌÁ My mother came to help me (because I was beeing beated) and he ÌÁ also beated my mother.",32,18.0,2.0,10.0,i felt anger when i had a fight with my father and he beated me my mother came to help me because i wa beeing beated and he also beated my mother
2327,3.0,sadness,"['it', 'happened', 'when', 'i', 'lost', 'two', 'very', 'intimate', 'friend', 'in', 'a', 'car', 'accident']",It happened when I lost two very intimate friends in a car ÌÁ accident.,13,18.0,2.0,10.0,it happened when i lost two very intimate friend in a car accident
2328,4.0,disgust,"['i', 'felt', 'disgust', 'of', 'my', 'father', 'when', 'i', 'knew', 'he', 'had', 'a', 'lover']",I felt disgust of my father when I knew he had a lover.,13,18.0,2.0,10.0,i felt disgust of my father when i knew he had a lover
2331,0.0,joy,"['always', 'when', 'i', 'am', 'well', 'succeded']",Always when I am well succeded.,6,18.0,2.0,10.0,always when i am well succeded
2332,1.0,fear,"['when', 'there', 'is', 'danger', 'nearby']",When there is danger nearby.,5,18.0,2.0,10.0,when there is danger nearby
2333,2.0,anger,"['i', 'feel', 'anger', 'when', 'thing', 'dont', 'come', 'out', 'a', 'i', 'wish']",I feel anger when things don't come out as I wish.,11,18.0,2.0,10.0,i feel anger when thing dont come out a i wish
2334,3.0,sadness,"['when', 'i', 'couldnt', 'go', 'for', 'a', 'trip', 'with', 'my', 'friend', 'in', 'a', 'holiday']",When I couldn't go for a trip with my friends in a holiday.,13,18.0,2.0,10.0,when i couldnt go for a trip with my friend in a holiday
2335,4.0,disgust,"['disgust', 'of', 'drunkers', 'and', 'of', 'blood']",Disgust of drunkers and of blood.,6,18.0,2.0,10.0,disgust of drunkers and of blood
2338,0.0,joy,"['when', 'there', 'wa', 'a', 'possibility', 'of', 'getting', 'on', 'better', 'in', 'professional', 'life', 'i', 'valorized', 'very', 'much', 'this', 'aspect', 'people', 'showed', 'me', 'this', 'possibility', 'not', 'the', 'real', 'fact', 'even', 'because', 'until', 'now']","When there was a possibility of getting on better in professional ÌÁ life. I valorized very much this aspect. People showed me this ÌÁ possibility, not the real fact (even because until now ...)",31,23.0,2.0,10.0,when there wa a possibility of getting on better in professional life i valorized very much this aspect people showed me this possibility not the real fact even because until now
2339,1.0,fear,"['when', 'i', 'wa', 'curious', 'about', 'it', 'and', 'went', 'to', 'a', 'spiritism', 'session', 'with', 'a', 'friend', 'i', 'had', 'already', 'been', 'there', 'other', 'time', 'many', 'time', 'when', 'i', 'wa', 'younger', 'but', 'that', 'day', 'even', 'if', 'i', 'dont', 'believe', 'in', 'spiritism', 'i', 'wa', 'terribly', 'afraid', 'that', 'something', 'would', 'happen', 'to', 'me', 'sort', 'of', 'incorporation', '!']","When I was curious about it and went to a spiritism session with a ÌÁ friend. I had already been there other times (many times when I ÌÁ was younger) but that day, even if I don't believe in ÌÁ spiritism I was terribly afraid that something would happen to me ÌÁ (sort of incorporation !).",52,23.0,2.0,10.0,when i wa curious about it and went to a spiritism session with a friend i had already been there other time many time when i wa younger but that day even if i dont believe in spiritism i wa terribly afraid that something would happen to me sort of incorporation !
2340,2.0,anger,"['when', 'they', 'denied', 'a', 'job', 'to', 'a', 'person', 'that', 'i', 'propsed', 'giving', 'political', 'reason', 'that', 'ha', 'nothing', 'to', 'do', 'directly', 'with', 'the', 'professional', 'level']",When they denied a job to a person that I propsed giving political ÌÁ reasons that has nothing to do directly with the professional ÌÁ level.,24,23.0,2.0,10.0,when they denied a job to a person that i propsed giving political reason that ha nothing to do directly with the professional level
2341,3.0,sadness,"['during', 'an', 'informal', 'talk', 'with', 'a', 'friend', 'when', 'we', 'talk', 'about', 'the', 'life', 'of', 'another', 'person', 'a', 'common', 'friend', 'that', 'is', 'in', 'a', 'situation', 'of', 'not', 'being', 'able', 'to', 'assume', 'certain', 'problem', 'that', 'he', 'decided', 'to', 'solve', 'that', 'is', 'she', 'herself', 'suggested', 'the', 'problem', 'and', 'decided', 'to', 'solve', 'them', 'but', 'didnt', 'get', 'it', 'until', 'the', 'moment']","During an informal talk with a friend when we talk about the life ÌÁ of another person, a common friend, that is in a situation of not ÌÁ being able to assume certain problems that he decided to solve, ÌÁ that is, she herself suggested the problems and decided to solve ÌÁ them but didn't get it until the moment.",56,23.0,2.0,10.0,during an informal talk with a friend when we talk about the life of another person a common friend that is in a situation of not being able to assume certain problem that he decided to solve that is she herself suggested the problem and decided to solve them but didnt get it until the moment
2342,4.0,disgust,"['when', 'my', 'friend', 'and', 'i', 'were', 'camping', 'in', 'a', 'weekend', 'and', 'with', 'little', 'food', 'we', 'met', 'a', 'middle', 'age', 'couple', 'from', 'a', 'small', 'town', 'that', 'invited', 'u', 'to', 'eat', 'in', 'their', 'house', 'their', 'house', 'wa', 'small', 'badly', 'built', 'with', 'old', 'and', 'dirty', 'forniture', 'and', 'utensil', 'the', 'problem', 'wa', 'with', 'pan', 'and', 'dish', 'and', 'even', 'the', 'food']","When my friends and I were camping in a weekend, and with little ÌÁ food, we met a middle age couple from a small town that invited ÌÁ us to eat in their house. Their house was small, badly built with ÌÁ old and dirty forniture and utensils. The problem was with pans, ÌÁ and dishes, and even the food.",56,23.0,2.0,10.0,when my friend and i were camping in a weekend and with little food we met a middle age couple from a small town that invited u to eat in their house their house wa small badly built with old and dirty forniture and utensil the problem wa with pan and dish and even the food
2345,0.0,joy,"['when', 'i', 'got', 'a', 'wedding', 'ring', 'of', 'diamond', 'from', 'the', 'boy', 'i', 'loved']",When I got a wedding ring of diamond from the boy I loved.,13,19.0,2.0,10.0,when i got a wedding ring of diamond from the boy i loved
2346,1.0,fear,"['afraid', 'of', 'getting', 'alone', 'without', 'friend', 'without', 'anybody']","Afraid of getting alone without friends, without anybody.",8,19.0,2.0,10.0,afraid of getting alone without friend without anybody
2347,2.0,anger,"['when', 'they', 'stole', 'my', 'dark', 'blue', 'tennis']",When they stole my dark blue tennis.,7,19.0,2.0,10.0,when they stole my dark blue tennis
2348,3.0,sadness,"['when', 'i', 'became', 'conscious', 'that', 'men', 'dont', 'wnat', 'anything', 'they', 'dont', 'have', 'a', 'goal', 'they', 'have', 'sex', 'but', 'this', 'isnt', 'important']","When I became conscious that men don't wnat anything they don't ÌÁ have a goal. They have: sex, but this isn't important.",21,19.0,2.0,10.0,when i became conscious that men dont wnat anything they dont have a goal they have sex but this isnt important
2349,4.0,disgust,"['when', 'i', 'went', 'in', 'a', 'clinical', 'hospital', 'and', 'saw', 'in', 'what', 'condition', 'people', 'are', 'attended', 'there']",When I went in a clinical hospital and saw in what conditions ÌÁ people are attended there.,16,19.0,2.0,10.0,when i went in a clinical hospital and saw in what condition people are attended there
2352,0.0,joy,"['when', 'i', 'met', 'again', 'a', 'great', 'friend', 'and', 'talked', 'a', 'little', 'while', 'with', 'him', 'when', 'i', 'see', 'again', 'another', 'i', 'miss']",When I met again a great friend and talked a little while with ÌÁ him. When I see again another I miss.,21,18.0,2.0,10.0,when i met again a great friend and talked a little while with him when i see again another i miss
2353,1.0,fear,"['i', 'feel', 'afraid', 'of', 'the', 'way', 'a', 'great', 'friend', 'look', 'at', 'me', 'and', 'also', 'a', 'little', 'afraid', 'of', 'the', 'direction', 'that', 'it', 'going']","I feel afraid of the way a great friend looks at me, and also a ÌÁ little afraid of the directions that it's going.",23,18.0,2.0,10.0,i feel afraid of the way a great friend look at me and also a little afraid of the direction that it going
2355,3.0,sadness,"['when', 'i', 'knew', 'almost', 'the', 'same', 'day', 'about', 'two', 'great', 'friend', 'of', 'mine', 'that', 'had', 'serious', 'existential', 'crisis', 'and', 'mainly', 'when', 'i', 'notice', 'that', 'im', 'in', 'the', 'same', 'situation', 'that', 'they', 'are', 'but', 'i', 'didnt', 'realize', 'it']","When I knew almost the same day about two great friends of mine ÌÁ that had serious existential crisis, and mainly when I notice ÌÁ that I'm in the same situation that they are, but I didn't ÌÁ realize it.",37,18.0,2.0,10.0,when i knew almost the same day about two great friend of mine that had serious existential crisis and mainly when i notice that im in the same situation that they are but i didnt realize it
2359,0.0,joy,"['when', 'i', 'entered', 'university']",When I entered University.,4,19.0,1.0,10.0,when i entered university
2360,1.0,fear,"['i', 'have', 'been', 'afraid', 'several', 'time', 'what', 'marked', 'me', 'wa', 'that', 'i', 'almost', 'didnt', 'enter', 'university']",I have been afraid several times. What marked me was that I ÌÁ almost didn't enter University.,16,19.0,1.0,10.0,i have been afraid several time what marked me wa that i almost didnt enter university
2361,2.0,anger,"['im', 'crazy', 'about', 'football', 'when', 'my', 'team', 'lost', 'a', 'goal', 'in', 'the', 'paulist', 'championship', 'and', 'so', 'it', 'lost', 'the', 'classification']","I'm crazy about football. When my team lost a goal in the Paulist ÌÁ championship, and so it lost the classifications.",20,19.0,1.0,10.0,im crazy about football when my team lost a goal in the paulist championship and so it lost the classification
2362,3.0,sadness,"['when', 'my', 'grandmother', 'my', 'second', 'mother', 'died']","When my grandmother, my second mother died.",7,19.0,1.0,10.0,when my grandmother my second mother died
2363,4.0,disgust,"['when', 'a', 'girl', 'that', 'i', 'liked', 'didnt', 'accept', 'my', 'curting']",When a girl that I liked didn't accept my curting.,10,19.0,1.0,10.0,when a girl that i liked didnt accept my curting
2366,0.0,joy,"['when', 'i', 'met', 'a', 'girl', 'and', 'asked', 'her', 'for', 'a', 'date', 'and', 'she', 'agreed', 'i', 'thought', 'this', 'girl', 'would', 'never', 'like', 'me', 'this', 'wa', 'an', 'emotion', 'of', 'joy']","When I met a girl and asked her for a date and she agreed, (I ÌÁ thought this girl would never like me), this was an emotion of ÌÁ joy.",28,28.0,1.0,10.0,when i met a girl and asked her for a date and she agreed i thought this girl would never like me this wa an emotion of joy
2367,1.0,fear,"['the', 'same', 'fact', 'about', 'the', 'girl', '22', 'year', 'married', 'guilt', 'disgust', 'the', 'fear', 'wa', 'the', 'main', 'factor', 'in', 'our', 'relationship']","The same fact about the girl (22 years, married - guilt - ÌÁ disgust), the fear was the main factor in our relationship.",20,28.0,1.0,10.0,the same fact about the girl 22 year married guilt disgust the fear wa the main factor in our relationship
2368,2.0,anger,"['about', 'the', 'car', 'sadness', 'i', 'felt', 'anger', 'the', 'way', 'i', 'acted', 'after', 'negotiating', 'it']",About the car (sadness) I felt anger the way I acted after ÌÁ negotiating it.,14,28.0,1.0,10.0,about the car sadness i felt anger the way i acted after negotiating it
2369,3.0,sadness,"['to', 'buy', 'a', 'car', 'and', 'didnt', 'like', 'the', 'business', 'and', 'the', 'car']",To buy a car and didn't like the business and the car.,12,28.0,1.0,10.0,to buy a car and didnt like the business and the car
2370,4.0,disgust,"['i', 'met', 'a', 'girl', '22', 'year', 'old', 'married', 'i', 'liked', 'her', 'i', 'asked', 'her', 'for', 'a', 'date', 'and', 'i', 'kissed', 'her', 'i', 'discovered', 'that', 'she', 'lived', 'nearby', 'where', 'i', 'passed', 'every', 'day', 'i', 'got', 'amused', 'thinking', 'that', 'her', 'husband', 'would', 'be', 'or', 'me', 'i', 'didnt', 'talked', 'to', 'her', 'anymore']","I met a girl (22 years old), married. I liked her. I asked her ÌÁ for a date and I kissed her. I discovered that she lived nearby ÌÁ where I passed every day. I got amused thinking that her husband ÌÁ would be ... or me . I didn't talked to her anymore.",49,28.0,1.0,10.0,i met a girl 22 year old married i liked her i asked her for a date and i kissed her i discovered that she lived nearby where i passed every day i got amused thinking that her husband would be or me i didnt talked to her anymore
2373,0.0,joy,"['i', 'felt', 'joy', 'when', 'i', 'red', 'my', 'name', 'in', 'the', 'list', 'of', 'the', 'approved', 'in', 'the', 'entrance', 'college', 'examination']",I felt joy when I red my name in the list of the approved in the ÌÁ entrance college examination.,19,30.0,1.0,10.0,i felt joy when i red my name in the list of the approved in the entrance college examination
